Date_wk1,Date_wk9,Plant_ID,Species,Treatment,Temperature,Nitrogen,Heightwk1_cm,Heightwk9_cm,diff_9_1_cm,Rt_len_cm,Rt_coll_cm,Nema_Abund_count,BF_count,FF_count,PF_count,OM_count,PD_count,original_data_order
6/23/2017,8/16/2017,448,Red cedar,Control,ControlT,ControlN,7.5,19.1,11.61,30.81,0.32,2,0,0,1,0,1,14
6/23/2017,8/16/2017,474,Red cedar,Control,ControlT,ControlN,10.3,27.6,17.31,49,0.59,2,0,0,0,1,1,16
6/23/2017,8/16/2017,531,Red cedar,Control,ControlT,ControlN,7.3,22.4,15.07,39.35,0.37,0,0,0,0,0,0,20
6/23/2017,8/16/2017,547,Red cedar,Control,ControlT,ControlN,7.5,22.2,14.74,50.02,0.19,1,0,0,0,0,1,23
6/23/2017,8/16/2017,576,Red cedar,Control,ControlT,ControlN,7.6,22.1,14.51,66.11,0.28,3,0,0,0,0,3,27
6/23/2017,8/16/2017,587,Red cedar,Control,ControlT,ControlN,7.8,24,16.19,38.33,0.47,0,0,0,0,0,0,31
6/23/2017,8/16/2017,450,Red cedar,N+W,ElevatedT,ElevatedN,7.3,23,15.69,36.89,0.46,2,0,1,0,0,1,43
6/23/2017,8/16/2017,476,Red cedar,N+W,ElevatedT,ElevatedN,8.8,26.2,17.44,27.96,0.48,1,0,0,0,0,1,45
6/23/2017,8/16/2017,479,Red cedar,N+W,ElevatedT,ElevatedN,7.3,20.7,13.35,39.87,0.44,4,0,0,0,2,2,46
6/23/2017,8/16/2017,538,Red cedar,N+W,ElevatedT,ElevatedN,9.3,28.3,18.99,40.72,0.23,1,0,0,0,0,1,51
6/23/2017,8/16/2017,539,Red cedar,N+W,ElevatedT,ElevatedN,7.5,21.6,14.1,37.28,0.4,14,0,0,1,8,5,52
6/23/2017,8/16/2017,589,Red cedar,N+W,ElevatedT,ElevatedN,12.1,33.4,21.3,38.46,0.41,25,0,0,4,8,13,59
6/23/2017,8/16/2017,435,Red cedar,Nitrogen,ControlT,ElevatedN,9.2,27.2,18.04,47.32,0.42,10,1,0,1,2,6,73
6/23/2017,8/16/2017,439,Red cedar,Nitrogen,ControlT,ElevatedN,12.8,27.5,14.72,48.56,0.56,1,0,0,0,0,1,75
6/23/2017,8/16/2017,442,Red cedar,Nitrogen,ControlT,ElevatedN,7.9,28.3,20.37,32.22,0.35,4,0,0,0,0,4,77
6/23/2017,8/16/2017,445,Red cedar,Nitrogen,ControlT,ElevatedN,8.7,26.9,18.18,47.48,0.58,6,0,0,0,3,3,78
6/23/2017,8/16/2017,574,Red cedar,Nitrogen,ControlT,ElevatedN,8.8,20.9,12.08,28.71,0.27,1,0,0,0,0,1,87
6/23/2017,8/16/2017,590,Red cedar,Nitrogen,ControlT,ElevatedN,8.7,22.9,14.15,50.54,0.43,4,0,1,0,1,2,90
6/23/2017,8/16/2017,443,Red cedar,Warming,ElevatedT,ControlN,7.8,26.6,18.79,39,0.38,9,1,0,0,1,7,102
6/23/2017,8/16/2017,446,Red cedar,Warming,ElevatedT,ControlN,11.7,30.2,18.5,34.57,0.56,0,0,0,0,0,0,104
6/23/2017,8/16/2017,477,Red cedar,Warming,ElevatedT,ControlN,7.4,22.2,14.78,34.72,0.39,10,0,0,1,0,9,106
6/23/2017,8/16/2017,478,Red cedar,Warming,ElevatedT,ControlN,10.2,20.4,10.15,38.5,0.32,0,0,0,0,0,0,107
6/23/2017,8/16/2017,489,Red cedar,Warming,ElevatedT,ControlN,6.1,20.8,14.69,40,0.48,3,0,0,0,0,3,110
6/23/2017,8/16/2017,540,Red cedar,Warming,ElevatedT,ControlN,9,25.1,16.11,37.6,0.55,0,0,0,0,0,0,112
6/23/2017,8/16/2017,312,Douglas-fir,Control,ControlT,ControlN,9.2,32.1,22.88,27.96,0.44,32,0,0,6,0,28,154
6/23/2017,8/16/2017,380,Douglas-fir,Control,ControlT,ControlN,6,20.1,14.13,29.03,0.24,13,0,0,3,0,15,169
